id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,data_extracao,num_apostas
879,Fortaleza,Grêmio,dom.,20:30,2.08,3.3,3.55,2025-11-09 20:30:00,2025-11-09,474.0
36,Fortaleza,Sport,sáb.,16:00,1.79,3.55,4.4,2025-09-27 16:00:00,2025-09-27,373.0
57,Fortaleza,São Paulo,qui.,19:30,2.7,3.2,2.6,2025-10-02 19:30:00,2025-10-02,405.0
1124,Fortaleza,Vasco,qua.,21:30,2.2,3.3,3.3,2025-10-15 21:30:00,2025-10-15,434.0
379,Fortaleza,Vitória,sáb.,16:00,1.81,3.5,4.4,2025-09-13 16:00:00,2025-09-13,409.0
1171,Grêmio,Botafogo,qua.,19:30,2.9,3.15,2.48,2025-09-24 19:30:00,2025-09-24,350.0
364,Grêmio,Cruzeiro,qua.,20:00,3.1,3.3,2.3,2025-11-05 20:00:00,2025-11-05,426.0
128,Grêmio,Juventude,dom.,16:00,1.67,3.6,5.3,2025-10-26 16:00:00,2025-10-25,459.0
471,Grêmio,Juventude,27 de out.,20:00,1.62,3.8,5.5,2025-10-27 20:00:00,2025-10-18,355.0
380,Grêmio,Mirassol,sáb.,16:00,2.25,3.2,3.25,2025-09-13 16:00:00,2025-09-13,372.0
1126,Grêmio,São Paulo,qui.,19:00,2.85,3.15,2.55,2025-10-16 19:00:00,2025-10-15,375.0
40,Grêmio,Vitória,dom.,11:00,1.75,3.5,4.8,2025-09-28 11:00:00,2025-09-27,409.0
577,Internacional,Atlético-MG,dom.,18:30,2.0,3.15,4.0,2025-11-02 18:30:00,2025-11-01,431.0
894,Internacional,Bahia,sáb.,18:30,2.23,3.1,3.4,2025-11-08 18:30:00,2025-11-08,429.0
93,Internacional,Botafogo,sáb.,18:30,2.45,3.2,2.88,2025-10-04 18:30:00,2025-10-03,360.0
651,Internacional,Corinthians,qua.,19:30,2.02,3.3,3.8,2025-10-01 19:30:00,2025-10-01,376.0
6,Internacional,Fortaleza,dom.,20:30,1.61,3.9,5.3,2025-08-31 20:30:00,2025-08-31,0
956,Internacional,Grêmio,dom.,17:30,1.9,3.35,4.1,2025-09-21 17:30:00,2025-09-21,353.0
1090,Internacional,Sport,sáb.,18:30,1.58,3.9,5.75,2025-10-18 18:30:00,2025-10-17,358.0
456,Internacional,Sport,dom.,18:30,1.6,3.8,5.6,2025-10-19 18:30:00,2025-10-18,411.0
494,Juventude,Bragantino,seg.,19:00,2.8,3.05,2.6,2025-10-20 19:00:00,2025-10-20,429.0
385,Juventude,Flamengo,dom.,16:00,8.0,4.5,1.4,2025-09-14 16:00:00,2025-09-13,382.0
756,Juventude,Fortaleza,dom.,18:30,2.45,3.15,2.95,2025-10-05 18:30:00,2025-10-05,403.0
37,Juventude,Internacional,sáb.,18:30,3.8,3.3,2.02,2025-09-27 18:30:00,2025-09-27,336.0
578,Juventude,Palmeiras,dom.,18:30,6.75,4.1,1.5,2025-11-02 18:30:00,2025-11-01,490.0
750,Juventude,Santos,20 de out.,19:00,2.63,3.1,2.8,2025-10-20 19:00:00,2025-10-11,320.0
4,Mirassol,Bahia,dom.,18:30,2.16,3.35,3.3,2025-08-31 18:30:00,2025-08-31,0
572,Mirassol,Botafogo,sáb.,18:00,2.28,3.25,3.2,2025-11-01 18:00:00,2025-11-01,417.0
648,Mirassol,Bragantino,qua.,19:00,1.84,3.6,4.2,2025-10-01 19:00:00,2025-10-01,382.0
668,Mirassol,Fluminense,qua.,21:00,2.38,3.1,3.1,2025-10-08 21:00:00,2025-10-08,453.0
1121,Mirassol,Internacional,qua.,20:00,2.08,3.3,3.6,2025-10-15 20:00:00,2025-10-15,427.0
954,Mirassol,Juventude,dom.,16:00,1.5,4.0,6.75,2025-09-21 16:00:00,2025-09-21,390.0
880,Mirassol,Palmeiras,dom.,20:30,4.0,3.2,1.98,2025-11-09 20:30:00,2025-11-09,481.0
455,Mirassol,São Paulo,dom.,16:00,2.3,3.15,3.1,2025-10-19 16:00:00,2025-10-18,435.0
1119,Palmeiras,Bragantino,qua.,19:00,1.34,4.9,9.0,2025-10-15 19:00:00,2025-10-15,474.0
130,Palmeiras,Cruzeiro,dom.,20:30,1.8,3.55,4.4,2025-10-26 20:30:00,2025-10-25,473.0
1037,Palmeiras,Fortaleza,sáb.,21:00,1.4,4.3,9.0,2025-09-20 21:00:00,2025-09-20,398.0
381,Palmeiras,Internacional,sáb.,18:30,1.57,3.8,6.0,2025-09-13 18:30:00,2025-09-13,367.0
732,Palmeiras,Juventude,sáb.,19:00,1.19,6.25,15.0,2025-10-11 19:00:00,2025-10-11,404.0
733,Palmeiras,Santos,qua.,19:00,1.38,4.4,8.0,2025-10-15 19:00:00,2025-10-11,99.0
1160,Palmeiras,Santos,qui.,21:30,1.43,4.25,8.0,2025-11-06 21:30:00,2025-11-06,492.0
649,Palmeiras,Vasco,qua.,19:00,1.34,4.8,9.5,2025-10-01 19:00:00,2025-10-01,455.0
1125,Santos,Corinthians,qua.,21:30,2.23,3.0,3.55,2025-10-15 21:30:00,2025-10-15,403.0
2,Santos,Fluminense,dom.,16:00,2.35,3.25,3.0,2025-08-31 16:00:00,2025-08-31,0
571,Santos,Fortaleza,sáb.,16:00,1.64,3.9,5.1,2025-11-01 16:00:00,2025-11-01,442.0
653,Santos,Grêmio,qua.,21:30,2.04,3.3,3.7,2025-10-01 21:30:00,2025-10-01,373.0
604,Santos,Palmeiras,sáb.,21:00,3.75,3.4,1.9,2025-11-15 21:00:00,2025-11-10,308.0
959,Santos,São Paulo,dom.,20:30,2.2,3.1,3.55,2025-09-21 20:30:00,2025-09-21,409.0
496,Santos,Vitória,seg.,21:30,1.56,3.9,6.1,2025-10-20 21:30:00,2025-10-20,442.0
892,Sport,Atlético-MG,sáb.,16:00,3.95,3.1,2.02,2025-11-08 16:00:00,2025-11-08,507.0
1122,Sport,Ceará,qua.,20:00,2.35,3.15,3.1,2025-10-15 20:00:00,2025-10-15,435.0
957,Sport,Corinthians,dom.,17:30,2.85,3.05,2.6,2025-09-21 17:30:00,2025-09-21,353.0
603,Sport,Flamengo,sáb.,18:30,9.5,4.6,1.3,2025-11-15 18:30:00,2025-11-10,293.0
650,Sport,Fluminense,qua.,19:00,3.1,3.05,2.43,2025-10-01 19:00:00,2025-10-01,382.0
360,Sport,Juventude,qua.,19:00,1.66,3.9,4.9,2025-11-05 19:00:00,2025-11-05,477.0
