id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
130,Juventude,Palmeiras,2 de nov.,18:30,5.4,1.12,360,2025-11-02 18:30:00,2025-10-24
131,Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,322,2025-11-02 20:30:00,2025-10-24
132,Fortaleza,Vitória,sáb.,16:00,1.36,2.95,353,2025-09-13 16:00:00,2025-09-12
133,Grêmio,Mirassol,sáb.,16:00,1.58,2.25,321,2025-09-13 16:00:00,2025-09-12
134,Palmeiras,Internacional,sáb.,18:30,1.21,4.0,316,2025-09-13 18:30:00,2025-09-12
135,Fluminense,Corinthians,sáb.,21:00,1.41,2.7,291,2025-09-13 21:00:00,2025-09-12
136,Bragantino,Sport,dom.,11:00,1.38,2.85,255,2025-09-14 11:00:00,2025-09-12
137,Atlético-MG,Santos,dom.,16:00,1.36,2.95,311,2025-09-14 16:00:00,2025-09-12
138,Juventude,Flamengo,dom.,16:00,5.3,1.13,283,2025-09-14 16:00:00,2025-09-12
139,São Paulo,Botafogo,dom.,17:30,1.5,2.43,248,2025-09-14 17:30:00,2025-09-12
140,Vasco,Ceará,dom.,20:30,1.33,3.05,290,2025-09-14 20:30:00,2025-09-12
141,Bahia,Cruzeiro,seg.,20:00,1.58,2.23,282,2025-09-15 20:00:00,2025-09-12
142,Botafogo,Mirassol,qua.,19:30,1.23,3.8,287,2025-09-17 19:30:00,2025-09-12
143,Vitória,Fluminense,20 de set.,16:00,1.74,2.0,298,2025-09-20 16:00:00,2025-09-12
144,Botafogo,Atlético-MG,20 de set.,18:30,1.2,4.1,315,2025-09-20 18:30:00,2025-09-12
145,Ceará,Bahia,20 de set.,18:30,1.89,1.83,261,2025-09-20 18:30:00,2025-09-12
146,Palmeiras,Fortaleza,20 de set.,21:00,1.1,5.8,275,2025-09-20 21:00:00,2025-09-12
147,Mirassol,Juventude,21 de set.,16:00,1.21,4.0,269,2025-09-21 16:00:00,2025-09-12
148,Flamengo,Vasco,21 de set.,17:30,1.18,4.4,277,2025-09-21 17:30:00,2025-09-12
149,Internacional,Grêmio,21 de set.,17:30,1.38,2.85,263,2025-09-21 17:30:00,2025-09-12
150,Sport,Corinthians,21 de set.,17:30,1.92,1.8,257,2025-09-21 17:30:00,2025-09-12
151,Cruzeiro,Bragantino,21 de set.,20:30,1.19,4.2,298,2025-09-21 20:30:00,2025-09-12
152,Santos,São Paulo,21 de set.,20:30,1.7,2.05,274,2025-09-21 20:30:00,2025-09-12
153,Grêmio,Botafogo,qua.,19:30,2.07,1.68,250,2025-09-24 19:30:00,2025-09-22
154,Vasco,Bahia,qua.,19:30,1.62,2.18,281,2025-09-24 19:30:00,2025-09-22
155,Fortaleza,Sport,sáb.,16:00,1.28,3.35,258,2025-09-27 16:00:00,2025-09-22
156,Juventude,Internacional,sáb.,18:30,2.55,1.47,243,2025-09-27 18:30:00,2025-09-22
157,Vasco,Cruzeiro,sáb.,18:30,2.0,1.74,274,2025-09-27 18:30:00,2025-09-22
158,Atlético-MG,Mirassol,sáb.,21:00,1.6,2.2,307,2025-09-27 21:00:00,2025-09-22
159,Grêmio,Vitória,28 de set.,11:00,1.24,3.75,271,2025-09-28 11:00:00,2025-09-22
160,Bahia,Palmeiras,28 de set.,16:00,1.88,1.84,277,2025-09-28 16:00:00,2025-09-22
161,Fluminense,Botafogo,28 de set.,16:00,1.66,2.1,300,2025-09-28 16:00:00,2025-09-22
162,Bragantino,Santos,28 de set.,18:30,1.54,2.33,291,2025-09-28 18:30:00,2025-09-22
163,Corinthians,Flamengo,28 de set.,20:30,2.88,1.37,269,2025-09-28 20:30:00,2025-09-22
164,São Paulo,Ceará,29 de set.,20:00,1.19,4.2,292,2025-09-29 20:00:00,2025-09-22
165,Atlético-MG,Juventude,30 de set.,21:30,1.13,5.1,325,2025-09-30 21:30:00,2025-09-22
166,Mirassol,Bragantino,1 de out.,19:00,1.49,2.48,282,2025-10-01 19:00:00,2025-09-22
167,Palmeiras,Vasco,1 de out.,19:00,1.09,6.1,317,2025-10-01 19:00:00,2025-09-22
168,Sport,Fluminense,1 de out.,19:00,1.98,1.76,283,2025-10-01 19:00:00,2025-09-22
